,Unnamed: 0,P,1G,2G,A,SH,SOG,GB,TCH,PAS,GID,TID,CT,OTID,SA,SV,PS%,OPS%,OCT,OSA,OSV
21,B. Minicus,3.0,0.6666666666666666,0.0,0.3333333333333333,2.6666666666666665,1.6666666666666667,1.0,12.0,8.333333333333334,16.0,5.0,6.0,2.0,10.333333333333334,14.333333333333334,44.333333333333336,43.73333333333333,10.666666666666666,13.0,13.0
85,E. Dobson,1.0,2.0,0.0,0.0,5.0,4.0,0.0,19.0,13.0,16.0,5.0,9.0,2.0,9.0,11.0,45.2,44.9,11.0,13.5,13.0
118,J. Byrne,2.0,1.25,0.0,2.0,5.0,3.25,1.0,29.5,22.75,16.0,5.0,6.25,2.0,11.5,14.0,42.900000000000006,43.73333333333333,10.666666666666666,13.0,13.0
128,J. Heningburg,2.0,1.5,0.0,0.5,3.25,3.25,1.0,27.25,22.75,16.0,5.0,6.25,2.0,11.5,14.0,42.900000000000006,49.0,12.0,12.0,9.0
155,K. Jackson,0.0,1.0,0.0,0.25,2.25,1.75,1.0,14.5,11.0,16.0,5.0,6.25,2.0,11.5,14.0,42.900000000000006,43.73333333333333,10.666666666666666,13.0,13.0
227,N. Rowlett,0.0,0.0,0.0,0.25,1.5,1.0,6.25,6.5,3.5,16.0,5.0,6.25,2.0,11.5,14.0,42.900000000000006,43.73333333333333,10.666666666666666,13.0,13.0
276,S. Knobloch,1.0,0.75,0.0,0.0,4.25,2.0,0.5,26.0,20.5,16.0,5.0,6.25,2.0,11.5,14.0,42.900000000000006,43.73333333333333,10.666666666666666,13.0,13.0
295,T. Reh,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,2.0,16.0,5.0,7.0,2.0,15.0,13.0,38.6,43.73333333333333,10.666666666666666,13.0,13.0
4,A. Nolting,4.0,1.0,0.0,3.0,4.5,3.0,2.0,31.75,23.5,17.0,3.0,7.0,8.0,12.0,13.25,48.85,48.85,7.0,12.0,13.25
8,A. Vardaro,1.0,0.5,0.0,0.0,3.0,2.0,0.0,10.0,6.5,17.0,3.0,6.0,8.0,10.0,14.5,50.5,45.15,9.0,16.5,13.5
15,B. Fairman,0.0,0.0,0.0,0.0,1.0,1.0,3.0,10.0,7.0,17.0,3.0,4.0,8.0,11.0,15.0,53.0,45.15,9.0,16.5,13.5
30,C. Aslanian,0.0,0.5,0.5,0.5,3.5,1.5,0.0,21.5,17.5,17.0,3.0,8.0,8.0,14.0,12.0,47.2,46.4,7.666666666666667,15.0,13.0
70,C. van Raaphorst,0.0,0.0,0.0,0.25,2.5,0.25,3.25,10.75,7.25,17.0,3.0,7.0,8.0,12.0,13.25,48.85,46.4,7.666666666666667,15.0,13.0
