,P,1G,2G,A,SH,SH%,SOG,GB,TO,TCH,PAS,GID,TID
Kirst profile,,,,,,,,,,,,20,3
C. Kirst,,,,,,,,,,,,20,3
M,,,,,,,,,,,,20,3
32,3,0,0,3,3,0%,2,0,2,23,18,20,3
Nolting profile,,,,,,,,,,,,20,3
A. Nolting,,,,,,,,,,,,20,3
A,,,,,,,,,,,,20,3
19,2,2,0,0,4,50%,4,1,2,15,9,20,3
Vardaro profile,,,,,,,,,,,,20,3
A. Vardaro,,,,,,,,,,,,20,3
M,,,,,,,,,,,,20,3
20,2,1,0,1,5,20%,4,1,0,21,16,20,3
Campbell profile,,,,,,,,,,,,20,3
M. Campbell,,,,,,,,,,,,20,3
M,,,,,,,,,,,,20,3
3,1,1,0,0,2,50%,1,0,0,14,12,20,3
Aslanian profile,,,,,,,,,,,,20,3
C. Aslanian,,,,,,,,,,,,20,3
M,,,,,,,,,,,,20,3
35,1,0,0,1,0,0%,0,4,0,5,5,20,3
Rall profile,,,,,,,,,,,,20,3
E. Rall,,,,,,,,,,,,20,3
LSM,,,,,,,,,,,,20,3
43,1,0,0,1,0,0%,0,1,0,7,7,20,3
Trainor profile,,,,,,,,,,,,20,3
J. Trainor,,,,,,,,,,,,20,3
SSDM,,,,,,,,,,,,20,3
22,1,0,0,1,2,0%,1,1,1,21,18,20,3
Drenner profile,,,,,,,,,,,,20,3
R. Drenner,,,,,,,,,,,,20,3
M,,,,,,,,,,,,20,3
2,0,0,0,0,1,0%,0,0,1,8,6,20,3
Fairman profile,,,,,,,,,,,,20,3
B. Fairman,,,,,,,,,,,,20,3
SSDM,,,,,,,,,,,,20,3
4,0,0,0,0,2,0%,0,8,1,7,4,20,3
Tucci profile,,,,,,,,,,,,20,3
Z. Tucci,,,,,,,,,,,,20,3
FO,,,,,,,,,,,,20,3
77,0,0,0,0,1,0%,0,0,1,3,1,20,3
van Raaphorst profile,,,,,,,,,,,,,
C. van Raaphorst,,,,,,,,,,,,,
D,,,,,,,,,,,,,
