,P,1G,2G,A,SH,SH%,SOG,GB,TO,TCH,PAS,GID,TID
7,6,3,0,3,6,50%,5,1,1,25,18,4,7
Malone profile,,,,,,,,,,,,,7
TJ Malone,,,,,,,,,,,,,7
A,,,,,,,,,,,,,7
1,5,1,2,0,10,30%,7,0,1,25,14,4,7
Chanenchuk profile,,,,,,,,,,,,,7
M. Chanenchuk,,,,,,,,,,,,,7
M,,,,,,,,,,,,,7
36,2,2,0,0,6,33.30%,4,1,1,19,12,4,7
Williams profile,,,,,,,,,,,,,7
Z. Williams,,,,,,,,,,,,,7
A,,,,,,,,,,,,,7
9,2,0,0,2,3,0%,2,0,2,16,11,4,7
Rambo profile,,,,,,,,,,,,,7
M. Rambo,,,,,,,,,,,,,7
A,,,,,,,,,,,,,7
3,2,0,0,2,1,0%,1,1,0,10,9,4,7
Morrill profile,,,,,,,,,,,,,7
J. Morrill,,,,,,,,,,,,,7
A,,,,,,,,,,,,,7
40,2,0,1,0,6,16.70%,3,0,1,18,11,4,7
Leadmon profile,,,,,,,,,,,,,7
G. Leadmon,,,,,,,,,,,,,7
M,,,,,,,,,,,,,7
8,1,1,0,0,1,100%,1,1,1,8,6,4,7
Puglise profile,,,,,,,,,,,,,7
R. Puglise,,,,,,,,,,,,,7
SSDM,,,,,,,,,,,,,7
76,0,0,0,0,2,0%,2,1,0,16,14,4,7
Khan profile,,,,,,,,,,,,,7
K. Khan,,,,,,,,,,,,,7
M,,,,,,,,,,,,,7
10,0,0,0,0,1,0%,1,1,1,16,14,4,7
Heacock profile,,,,,,,,,,,,,7
C. Heacock,,,,,,,,,,,,,7
M,,,,,,,,,,,,,7
39,0,0,0,0,2,0%,0,2,0,5,3,4,7
Squires profile,,,,,,,,,,,,,
C. Squires,,,,,,,,,,,,,
LSM,,,,,,,,,,,,,
,,,,,,,,,,,,,
7,7,3,0,4,4,75%,4,0,3,47,40,4,4
Teat profile,,,,,,,,,,,,,4
J. Teat,,,,,,,,,,,,,4
A,,,,,,,,,,,,,4
10,4,3,0,1,5,60%,5,3,0,30,25,4,4
Dickson profile,,,,,,,,,,,,,4
X. Dickson,,,,,,,,,,,,,4
A,,,,,,,,,,,,,4
4,4,2,0,2,5,40%,4,2,1,34,28,4,4
Molloy profile,,,,,,,,,,,,,4
D. Molloy,,,,,,,,,,,,,4
M,,,,,,,,,,,,,4
6,3,3,0,0,6,50%,5,2,3,26,17,4,4
Aitken profile,,,,,,,,,,,,,4
D. Aitken,,,,,,,,,,,,,4
M,,,,,,,,,,,,,4
8,3,1,0,2,3,33.30%,1,0,0,18,15,4,4
Jones profile,,,,,,,,,,,,,4
M. Jones,,,,,,,,,,,,,4
M,,,,,,,,,,,,,4
0,2,0,1,0,2,50%,2,0,0,5,3,4,4
Smith profile,,,,,,,,,,,,,4
K. Smith,,,,,,,,,,,,,4
LSM,,,,,,,,,,,,,4
9,1,1,0,0,1,100%,1,11,0,12,11,4,4
Baptiste profile,,,,,,,,,,,,,4
T. Baptiste,,,,,,,,,,,,,4
FO,,,,,,,,,,,,,4
88,1,1,0,0,3,33.30%,2,1,0,14,11,4,4
Jacoby profile,,,,,,,,,,,,,4
R. Jacoby,,,,,,,,,,,,,4
M,,,,,,,,,,,,,4
5,1,1,0,0,1,100%,1,6,0,9,8,4,4
Carpenter profile,,,,,,,,,,,,,4
T. Carpenter,,,,,,,,,,,,,4
LSM,,,,,,,,,,,,,4
57,0,0,0,0,1,0%,0,2,0,9,8,4,4
Comizio profile,,,,,,,,,,,,,4
C. Comizio,,,,,,,,,,,,,4
SSDM,,,,,,,,,,,,,4
26,0,0,0,0,4,0%,2,0,0,13,9,4,4
Costabile profile,,,,,,,,,,,,,
B. Costabile,,,,,,,,,,,,,
M,,,,,,,,,,,,,
,,,,,,,,,,,,,
3,4,2,0,2,4,50%,3,2,2,41,35,5,8
Pannell profile,,,,,,,,,,,,,8
R. Pannell,,,,,,,,,,,,,8
A,,,,,,,,,,,,,8
44,4,2,1,0,6,50%,5,0,0,20,14,5,8
Degnon profile,,,,,,,,,,,,,8
G. Degnon,,,,,,,,,,,,,8
M,,,,,,,,,,,,,8
14,3,3,0,0,3,100%,3,0,1,21,17,5,8
Berg profile,,,,,,,,,,,,,8
W. Berg,,,,,,,,,,,,,8
A,,,,,,,,,,,,,8
41,2,1,0,1,5,20%,5,1,0,20,15,5,8
Bertrand profile,,,,,,,,,,,,,8
C. Bertrand,,,,,,,,,,,,,8
M,,,,,,,,,,,,,8
50,2,0,0,2,4,0%,0,0,5,41,32,5,8
Garnsey profile,,,,,,,,,,,,,8
R. Garnsey,,,,,,,,,,,,,8
A,,,,,,,,,,,,,8
6,1,1,0,0,2,50%,1,10,0,8,6,5,8
Ierlan profile,,,,,,,,,,,,,8
TD Ierlan,,,,,,,,,,,,,8
FO,,,,,,,,,,,,,8
12,1,0,0,1,0,0%,0,1,0,11,11,5,8
Tevlin profile,,,,,,,,,,,,,8
B. Tevlin,,,,,,,,,,,,,8
SSDM,,,,,,,,,,,,,8
35,0,0,0,0,1,0%,1,0,0,5,4,5,8
Kennedy profile,,,,,,,,,,,,,8
R. Kennedy,,,,,,,,,,,,,8
LSM,,,,,,,,,,,,,8
94,0,0,0,0,1,0%,0,1,0,26,25,5,8
Kelly profile,,,,,,,,,,,,,8
J. Kelly,,,,,,,,,,,,,8
G,,,,,,,,,,,,,8
1,0,0,0,0,5,0%,3,1,2,24,17,5,8
Montgomery profile,,,,,,,,,,,,,8
N. Montgomery,,,,,,,,,,,,,8
M,,,,,,,,,,,,,8
47,0,0,0,0,6,0%,4,0,2,14,6,5,8
Kirst profile,,,,,,,,,,,,,8
C. Kirst,,,,,,,,,,,,,8
M,,,,,,,,,,,,,8
31,0,0,0,0,1,0%,0,2,0,12,11,5,8
Fake profile,,,,,,,,,,,,,8
C. Fake,,,,,,,,,,,,,8
D,,,,,,,,,,,,,8
26,0,0,0,0,1,0%,1,2,0,5,4,5,8
Davis-Allen profile,,,,,,,,,,,,,8
I. Davis-Allen,,,,,,,,,,,,,8
SSDM,,,,,,,,,,,,,8
5,0,0,0,0,6,0%,1,1,0,16,10,5,8
Dennis profile,,,,,,,,,,,,,
R. Dennis,,,,,,,,,,,,,
M,,,,,,,,,,,,,
,,,,,,,,,,,,,
8,4,4,0,0,6,66.70%,6,0,1,25,18,5,5
Heningburg profile,,,,,,,,,,,,,5
J. Heningburg,,,,,,,,,,,,,5
A,,,,,,,,,,,,,5
22,4,2,0,2,3,66.70%,3,0,1,25,21,5,5
Byrne profile,,,,,,,,,,,,,5
J. Byrne,,,,,,,,,,,,,5
A,,,,,,,,,,,,,5
82,3,2,0,1,4,50%,3,0,2,22,16,5,5
Kurtz profile,,,,,,,,,,,,,5
T. Kurtz,,,,,,,,,,,,,5
A,,,,,,,,,,,,,5
1,2,2,0,0,3,66.70%,3,0,0,10,7,5,5
Jackson profile,,,,,,,,,,,,,5
K. Jackson,,,,,,,,,,,,,5
M,,,,,,,,,,,,,5
15,2,1,0,1,4,25%,3,0,0,14,10,5,5
Scott profile,,,,,,,,,,,,,5
R. Scott,,,,,,,,,,,,,5
A,,,,,,,,,,,,,5
27,1,1,0,0,4,25%,1,0,0,22,18,5,5
Knobloch profile,,,,,,,,,,,,,5
S. Knobloch,,,,,,,,,,,,,5
M,,,,,,,,,,,,,5
73,1,0,0,1,3,0%,2,6,2,7,2,5,5
Rowlett profile,,,,,,,,,,,,,5
N. Rowlett,,,,,,,,,,,,,5
FO,,,,,,,,,,,,,5
30,0,0,0,0,3,0%,2,1,1,13,9,5,5
Perkovic profile,,,,,,,,,,,,,5
S. Perkovic,,,,,,,,,,,,,5
M,,,,,,,,,,,,,5
13,0,0,0,0,1,0%,1,3,0,11,10,5,5
Geddes profile,,,,,,,,,,,,,5
Z. Geddes,,,,,,,,,,,,,5
SSDM,,,,,,,,,,,,,5
7,0,0,0,0,1,0%,1,1,1,9,7,5,5
Minicus profile,,,,,,,,,,,,,5
B. Minicus,,,,,,,,,,,,,5
A,,,,,,,,,,,,,5
55,0,0,0,0,1,0%,1,1,0,4,3,5,5
MacKay profile,,,,,,,,,,,,,
I. MacKay,,,,,,,,,,,,,
SSDM,,,,,,,,,,,,,
,,,,,,,,,,,,,
44,5,5,0,0,5,100%,5,1,1,13,7,6,1
Leclaire profile,,,,,,,,,,,,,1
T. Leclaire,,,,,,,,,,,,,1
M,,,,,,,,,,,,,1
5,5,4,0,1,9,44.40%,7,3,4,31,18,6,1
Fields profile,,,,,,,,,,,,,1
C. Fields,,,,,,,,,,,,,1
A,,,,,,,,,,,,,1
7,5,3,1,0,8,50%,7,1,1,25,16,6,1
O'Keefe profile,,,,,,,,,,,,,1
M. O'Keefe,,,,,,,,,,,,,1
A,,,,,,,,,,,,,1
16,3,2,0,1,5,40%,2,0,2,22,15,6,1
Ament profile,,,,,,,,,,,,,1
G. Ament,,,,,,,,,,,,,1
M,,,,,,,,,,,,,1
26,2,0,0,2,4,0%,2,1,0,25,21,6,1
Schreiber profile,,,,,,,,,,,,,1
T. Schreiber,,,,,,,,,,,,,1
M,,,,,,,,,,,,,1
42,2,0,0,2,2,0%,1,1,0,10,8,6,1
Aughavin profile,,,,,,,,,,,,,1
R. Aughavin,,,,,,,,,,,,,1
M,,,,,,,,,,,,,1
54,1,1,0,0,3,33.30%,2,4,1,17,13,6,1
Bond profile,,,,,,,,,,,,,1
P. Bond,,,,,,,,,,,,,1
SSDM,,,,,,,,,,,,,1
13,1,0,0,1,2,0%,2,1,0,14,12,6,1
Ambler profile,,,,,,,,,,,,,1
R. Ambler,,,,,,,,,,,,,1
M,,,,,,,,,,,,,1
11,1,0,0,1,5,0%,2,0,0,21,16,6,1
Moore profile,,,,,,,,,,,,,1
M. Moore,,,,,,,,,,,,,1
A,,,,,,,,,,,,,1
45,1,0,0,1,0,0%,0,0,0,15,15,6,1
Dobson profile,,,,,,,,,,,,,1
B. Dobson,,,,,,,,,,,,,1
G,,,,,,,,,,,,,1
77,0,0,0,0,1,0%,0,4,0,9,8,6,1
Woodward profile,,,,,,,,,,,,,1
M. Woodward,,,,,,,,,,,,,1
D,,,,,,,,,,,,,1
31,0,0,0,0,1,0%,1,1,0,4,3,6,1
Maher profile,,,,,,,,,,,,,
C. Maher,,,,,,,,,,,,,
SSDM,,,,,,,,,,,,,
,,,,,,,,,,,,,
42,9,6,1,1,15,46.70%,10,3,0,44,29,6,6
O'Neill profile,,,,,,,,,,,,,6
B. O'Neill,,,,,,,,,,,,,6
A,,,,,,,,,,,,,6
79,5,2,0,3,5,40%,4,0,3,44,36,6,6
Zawada profile,,,,,,,,,,,,,6
J. Zawada,,,,,,,,,,,,,6
A,,,,,,,,,,,,,6
2,4,3,0,1,8,37.50%,6,1,1,37,28,6,6
Myers profile,,,,,,,,,,,,,6
J. Myers,,,,,,,,,,,,,6
A,,,,,,,,,,,,,6
21,2,1,0,1,3,33.30%,1,2,0,16,13,6,6
Anderson profile,,,,,,,,,,,,,6
J. Anderson,,,,,,,,,,,,,6
SSDM,,,,,,,,,,,,,6
7,2,1,0,1,8,12.50%,3,1,0,20,12,6,6
Bundy profile,,,,,,,,,,,,,6
G. Bundy,,,,,,,,,,,,,6
M,,,,,,,,,,,,,6
26,1,1,0,0,8,12.50%,5,0,1,19,10,6,6
Handley profile,,,,,,,,,,,,,6
S. Handley,,,,,,,,,,,,,6
M,,,,,,,,,,,,,6
