,Unnamed: 0,P,1G,2G,A,SH,SOG,GB,TCH,PAS,GID,TID,CT,OTID,SA,SV,PS%
19,C. Ferrara,1.25,0.5,0.0,0.75,2.75,2.0,0.25,15.75,12.25,10.5,6.0,7.0,4.5,14.5,10.0,47.6
20,C. Fields,3.2,2.8,0.0,0.4,7.4,5.2,1.0,29.0,19.2,10.0,1.0,6.0,4.6,12.2,15.4,45.8
21,C. Gray,2.3333333333333335,1.6666666666666667,0.0,0.6666666666666666,4.666666666666667,3.0,1.0,25.0,18.666666666666668,14.333333333333334,8.0,8.333333333333334,4.333333333333333,13.333333333333334,13.333333333333334,45.333333333333336
22,C. Heacock,1.0,1.0,0.0,0.0,2.75,2.25,0.75,15.25,11.75,9.25,7.0,6.25,3.25,14.0,12.5,49.275
23,C. Kelly,1.8,1.6,0.0,0.2,6.0,3.6,0.0,25.0,18.0,11.6,2.0,9.4,3.8,11.8,12.8,45.28
24,C. Kirst,1.125,0.75,0.0,0.375,3.25,2.125,0.875,13.375,9.75,10.75,4.25,6.75,4.125,12.375,13.0,47.475
25,C. Maher,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.5,5.5,3.5,1.0,5.0,4.0,14.5,18.0,43.75
26,C. Merle,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,15.0,8.0,9.0,6.0,13.0,13.0,46.9
27,C. Scarpello,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,4.0,16.0,2.0,8.0,5.0,6.0,12.0,44.5
28,C. Shellenberger,4.6,2.4,0.0,2.2,4.6,3.2,2.4,37.2,31.4,10.2,4.0,7.2,5.8,11.8,13.0,46.68
29,C. Squires,0.5,0.5,0.0,0.0,1.5,0.5,3.5,5.0,3.5,8.0,7.0,5.5,3.0,15.5,11.0,50.75
30,C. Wyers,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,4.0,10.0,1.0,5.0,5.0,7.0,18.0,49.1
31,C. van Raaphorst,0.16666666666666666,0.0,0.0,0.16666666666666666,2.1666666666666665,0.3333333333333333,2.6666666666666665,10.0,6.833333333333333,11.666666666666666,3.0,6.666666666666667,4.0,11.166666666666666,13.0,47.916666666666664
32,CJ Costabile,0.0,0.0,0.0,0.0,1.0,1.0,2.5,5.5,4.0,6.5,5.0,6.0,3.5,10.0,13.5,44.0
